Clave,Id,Producto,Precio,PrecioIVA,ClaveProdServ,Detalles,Indicaciones,TiempoEntrega,Duracion,Descripcion
LABANPRLI,940,ANTIGENO ESPECIFICO DE PROSTATA LIBRE,271.55,315.00,85121800 - Laboratorios médicos,,,,,
BIOBAFAF,13,BF BIOPSIA BAF AGUJA FINA,5431.03,6299.99,85121800 - Laboratorios médicos,,,,,
BIOAGUMAMA,796,BP AGUJA BIOPSIA DE MAMA,1500.00,1740.00,42142504 - Agujas para biopsia,,,,,
OBAFGA,12,BP BIOPSIA BAAF GANGLIO AXILAR,5431.03,6299.99,85121800 - Laboratorios médicos,,,,,
BIOAGUTRUL,14,"BP BIOPSIA CON AGUJA TRU CUT + LAB (BH ,TP Y TPT)",5793.10,6720.00,85121800 - Laboratorios médicos,,,,,
BIOPSPERL,15,"BP BIOPSIA CRMD + LAB (BH, TP Y TPT)",4435.34,5144.99,85121800 - Laboratorios médicos,,,,,
BIOPMCM,16,BP BIOPSIA DE MAMA CRDM POR MASTO,8418.10,9765.00,85121800 - Laboratorios médicos,,,,,
BIOPXMAST,17,BP BIOPSIA DE MAMA CRMD X MASTO (DR BRITO),9323.28,10815.00,85121800 - Laboratorios médicos,,,,,
BIOPMUC,18,BP BIOPSIA DE MAMA CRMD X USG,7241.38,8400.00,85121800 - Laboratorios médicos,,,,,
BIOPPROS,19,BP BIOPSIA DE PROSTATA,5431.03,6299.99,85121800 - Laboratorios médicos,,,,,
BIOPROAN,20,BP BIOPSIA DE PROSTATA + ANESTESIA,9956.90,11550.00,85121800 - Laboratorios médicos,,,,,
BIOAGUTRU1,21,BP BIOPSIA MAMA CON AGUJA TRU CUT,5431.04,6300.01,85121800 - Laboratorios médicos,,,,,
BIOPSPER1,22,BP BIOPSIA TIROIDES CRMD,6788.79,7875.00,85121800 - Laboratorios médicos,,,,,
BIOPSPEGL,24,BP GUIA DE BIOPSIA + LAB,1267.24,1470.00,85121800 - Laboratorios médicos,,,,,
BIOPVIR,25,BP USO DE SALA DE BIOPSIAS,995.69,1155.00,85121800 - Laboratorios médicos,,,,,
LABCHKUPBAS,169,"CHECK-UP BASICO (BIOMETRIA HEMATICA, QUIMICA SANGUINEA 6 ELEM, EXAMEN GENERAL DE ORINA)",443.97,515.00,85121800 - Laboratorios médicos,,,,,
CHKCMP,788,"CHECK-UP COMPLETO (BIOMETRIA HEMATICA, QUIMICA SANGUINEA 32 ELEM, EXAMEN GENERAL DE ORINA)",896.55,1040.00,85121800 - Laboratorios médicos,,,,,
CHKHMB,791,"CHECK-UP SALUD HOMBRE (BIOMETRIA HEMATICA, QUIM SANG 28 ELEM, EXAMEN ORINA Y ANTIGENO PROSTATICO)",1086.21,1260.00,85121800 - Laboratorios médicos,,,,,
CHKBAS,773,CHECK-UP HOMBRE BASICO (ANTIGENO PROSTATICO ESPECIFICO + USG PROSTÁTICO),1033.52,1198.88,85121800 - Laboratorios médicos,,,,,
